train,test
0.710844250363901,0.6743067345783814
0.7364992721979622,0.6720430107526881
0.7536754002911208,0.6652518392756084
0.7678311499272198,0.6638370118845501
0.7791848617176128,0.6598754951895869
0.7865720524017468,0.6593095642331636
0.7942139737991266,0.6615732880588568
0.8016739446870451,0.6604414261460102
0.8080422125181951,0.6607243916242218
0.8137190684133916,0.6595925297113752
0.8187772925764192,0.6578947368421053
0.8237991266375546,0.6550650820599887
0.8285298398835517,0.6567628749292587
